timestamp, power.draw [W]
2026/02/22 02:05:55.668, 26.89 W
2026/02/22 02:05:56.674, 26.93 W
2026/02/22 02:05:57.674, 26.61 W
2026/02/22 02:05:58.674, 26.47 W
2026/02/22 02:05:59.674, 26.96 W
2026/02/22 02:06:00.674, 26.79 W
2026/02/22 02:06:01.674, 26.65 W
2026/02/22 02:06:02.675, 26.89 W
2026/02/22 02:06:03.675, 26.86 W
2026/02/22 02:06:04.675, 26.66 W
2026/02/22 02:06:05.675, 26.73 W
2026/02/22 02:06:06.675, 27.12 W
2026/02/22 02:06:07.675, 26.86 W
2026/02/22 02:06:08.675, 27.07 W
2026/02/22 02:06:09.676, 26.95 W
2026/02/22 02:06:10.676, 26.69 W
2026/02/22 02:06:11.676, 26.71 W
2026/02/22 02:06:12.676, 26.62 W
2026/02/22 02:06:13.676, 26.53 W
2026/02/22 02:06:14.676, 26.74 W
2026/02/22 02:06:15.676, 26.93 W
2026/02/22 02:06:16.676, 26.85 W
2026/02/22 02:06:17.677, 26.89 W
2026/02/22 02:06:18.677, 26.88 W
2026/02/22 02:06:19.677, 26.64 W
2026/02/22 02:06:20.677, 26.68 W
2026/02/22 02:06:21.677, 26.79 W
2026/02/22 02:06:22.677, 26.64 W
2026/02/22 02:06:23.677, 26.77 W
2026/02/22 02:06:24.677, 26.74 W
2026/02/22 02:06:25.678, 26.67 W
2026/02/22 02:06:26.678, 26.70 W
2026/02/22 02:06:27.678, 27.00 W
2026/02/22 02:06:28.678, 27.38 W
2026/02/22 02:06:29.678, 27.43 W
2026/02/22 02:06:30.678, 27.25 W
2026/02/22 02:06:31.678, 26.88 W
2026/02/22 02:06:32.678, 26.63 W
2026/02/22 02:06:33.679, 26.85 W
2026/02/22 02:06:34.679, 27.17 W
2026/02/22 02:06:35.679, 27.17 W
2026/02/22 02:06:36.679, 26.92 W
2026/02/22 02:06:37.679, 26.86 W
2026/02/22 02:06:38.679, 26.68 W
2026/02/22 02:06:39.679, 26.59 W
2026/02/22 02:06:40.679, 26.43 W
2026/02/22 02:06:41.680, 26.46 W
2026/02/22 02:06:42.680, 26.58 W
2026/02/22 02:06:43.680, 26.45 W
2026/02/22 02:06:44.680, 26.62 W
2026/02/22 02:06:45.680, 26.58 W
2026/02/22 02:06:46.680, 26.90 W
2026/02/22 02:06:47.680, 27.01 W
2026/02/22 02:06:48.680, 27.03 W
2026/02/22 02:06:49.681, 27.11 W
2026/02/22 02:06:50.681, 27.32 W
2026/02/22 02:06:51.681, 27.13 W
2026/02/22 02:06:52.681, 26.84 W
2026/02/22 02:06:53.681, 27.31 W
2026/02/22 02:06:54.681, 26.85 W
2026/02/22 02:06:55.681, 26.85 W
2026/02/22 02:06:56.682, 26.96 W
